Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[cultivar]	Factor Value Ontology Term[cultivar]	Factor Value[environmental stress]	Factor Value Ontology Term[environmental stress]	Analysed
SRR2984580	38 day		Grande Naine		Cavendish AAA, ITC0180		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Grande Naine		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984582	38 day		Grande Naine		Cavendish AAA, ITC0180		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Grande Naine		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984583	38 day		Mbwazirume		East African highland banana AAAh, ITC0084		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Mbwazirume		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984584	38 day		Mbwazirume		East African highland banana AAAh, ITC0084		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Mbwazirume		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984585	38 day		Cachaco		Bluggoe ABB, ITC0643		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Cachaco		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984586	38 day		Cachaco		Bluggoe ABB, ITC0643		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Cachaco		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984587	38 day		Cachaco		Bluggoe ABB, ITC0643		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Cachaco		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984588	38 day		Cachaco		Bluggoe ABB, ITC0643		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Cachaco		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984589	38 day		Cachaco		Bluggoe ABB, ITC0643		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Cachaco		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984590	38 day		Cachaco		Bluggoe ABB, ITC0643		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Cachaco		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984591	38 day		Grande Naine		Cavendish AAA, ITC0180		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Grande Naine		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984592	38 day		Grande Naine		Cavendish AAA, ITC0180		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Grande Naine		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984594	38 day		Grande Naine		Cavendish AAA, ITC0180		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Grande Naine		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984595	38 day		Grande Naine		Cavendish AAA, ITC0180		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Grande Naine		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984596	38 day		Mbwazirume		East African highland banana AAAh, ITC0084		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Mbwazirume		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984598	38 day		Mbwazirume		East African highland banana AAAh, ITC0084		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Mbwazirume		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
SRR2984599	38 day		Mbwazirume		East African highland banana AAAh, ITC0084		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Mbwazirume		osmotic stress treatment	http://purl.obolibrary.org/obo/EO_0001038	Yes
SRR2984601	38 day		Mbwazirume		East African highland banana AAAh, ITC0084		Musa acuminata	http://purl.obolibrary.org/obo/NCBITaxon_4641	in vitro plant structure	http://purl.obolibrary.org/obo/PO_0000004	root tip	http://purl.obolibrary.org/obo/PO_0000025	Mbwazirume		none	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
